Territorialidades,Índice de Theil-L 2010,Índice de Gini 2010,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Mortalidade até 5 anos de idade 2010,Probabilidade de sobrevivência até 40 anos 2010,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educação 2010,Probabilidade de sobrevivência até 60 anos 2010,Subíndice de frequência escolar - IDHM Educação 2010,Subíndice de escolaridade - IDHM Educação 2010,Taxa de fecundidade total 2010,Razão de dependência 2010,Taxa de envelhecimento 2010,Renda per capita 2010
Cubati (PB),"0,45","0,48","69,51","28,9","31,18","93,32","0,566","0,545","0,742","0,448",81,"0,571","0,275","2,62","60,01","9,57","237,71"
Cuité de Mamanguape (PB),"0,44","0,48","65,96","41,4","44,62","90,59","0,524","0,529","0,683","0,398","74,6","0,525","0,229","1,94","60,8","9,72","214,92"
Cuitegi (PB),"0,44","0,49","68,94","30,7","33,14","92,92","0,57","0,563","0,732","0,45","80,01","0,59","0,261","2,54","62,36","9,9","265,78"
Cuité (PB),"0,52","0,51","70,96","24,5","26,46","94,3","0,591","0,574","0,766","0,47","83,47","0,589","0,3","2,26","56,85","11,53","284,57"
Curral de Cima (PB),"0,51","0,52","67,89","34,3","36,94","92,14","0,529","0,528","0,715","0,392","78,15","0,538","0,208","2,38","62,43","9,96","214,4"
Curral Velho (PB),"0,65","0,59","69,36","29,4","31,67","93,22","0,606","0,613","0,739","0,491","80,75","0,613","0,315","2,07","51,09","6,87","362,28"
Damião (PB),"0,42","0,49","68,2","33,2","35,81","92,37","0,521","0,503","0,72","0,391","78,69","0,563","0,188","2,37","63,66","8,84","182,89"
Desterro (PB),"0,56","0,54","68,43","32,4","34,96","92,55","0,58","0,551","0,724","0,49","79,11","0,618","0,308","2,38","61,47","9,31","247,16"
Diamante (PB),"0,62","0,55","69,89","27,7","29,89","93,59","0,593","0,562","0,748","0,496","81,66","0,596","0,343","1,72","52,58","8,24","264,08"
Dona Inês (PB),"0,58","0,54","66,41","39,7","42,74","90,97","0,545","0,524","0,69","0,447","75,45","0,587","0,26","2,37","67,04","10,53","208,12"
Duas Estradas (PB),"0,54","0,51","72,72","19,8","21,35","95,37","0,603","0,565","0,795","0,488","86,28","0,615","0,307","1,65","64,99","12,56","269,85"
Emas (PB),"0,39","0,46","71,38","23,4","25,21","94,56","0,595","0,554","0,773","0,492","84,14","0,603","0,328","2,4","59,55","7,87","251,41"
Esperança (PB),"0,55","0,54","71,04","24,3","26,23","94,35","0,623","0,598","0,767","0,526","83,59","0,669","0,326","2,41","57,19","9,78","330,66"
Fagundes (PB),"0,52","0,52","69,91","27,7","29,84","93,6","0,56","0,543","0,749","0,432","81,68","0,572","0,247","2,05","62,16","10,28","235,02"
Frei Martinho (PB),"0,63","0,57","71,18","23,9","25,79","94,44","0,641","0,631","0,77","0,542","83,83","0,698","0,327","1,93","55,6","13,81","405,38"
Gado Bravo (PB),"0,55","0,56","69,22","29,8","32,17","93,12","0,513","0,491","0,737","0,373","80,5","0,519","0,193","2,34","60,52","9,37","170,29"
Guarabira (PB),"0,51","0,53","73,73","17,3","18,69","95,94","0,673","0,641","0,812","0,586","87,81","0,661","0,461","1,62","50,09","8,86","430,83"
Gurinhém (PB),"0,39","0,45","68,67","31,6","34,09","92,72","0,556","0,544","0,728","0,435","79,54","0,561","0,262","2,37","57,71","9,66","235,88"
Gurjão (PB),"0,38","0,45","68,76","31,3","33,77","92,79","0,625","0,576","0,729","0,581","79,7","0,686","0,417","1,59","52,39","10,45","288,53"
Ibiara (PB),"0,58","0,53","71,08","24,2","26,12","94,37","0,586","0,548","0,768","0,479","83,65","0,637","0,271","1,78","56,24","11,57","242,08"
Igaracy (PB),"0,55","0,52","72,65",20,"21,54","95,33","0,61","0,575","0,794","0,496","86,17","0,63","0,308","1,79","57,52","9,89","286,68"
Imaculada (PB),"0,54","0,52","67,87","34,3","37,03","92,12","0,557","0,524","0,715","0,461","78,11","0,577","0,294","2,46","67,11","7,22","208,83"
Ingá (PB),"0,48","0,49","71,07","24,2","26,14","94,37","0,592","0,573","0,768","0,471","83,63","0,611","0,28","2,41","60,71","10,42","282,85"
Itabaiana (PB),"0,47","0,5","68,63","31,8","34,25","92,69","0,613","0,592","0,727","0,536","79,46","0,631","0,386","2,02","51,76","10,16","319,34"
Itaporanga (PB),"0,48","0,5","69,54","28,8","31,08","93,34","0,615","0,607","0,742","0,517","81,05","0,62","0,359","1,85","52,25","8,14","349,02"
Itapororoca (PB),"0,43","0,48","70,41","26,2","28,21","93,94","0,564","0,543","0,757","0,437","82,53","0,575","0,252","2,18","57,29","9,33","235,44"
Itatuba (PB),"0,48","0,49","69,51","28,9","31,18","93,32","0,562","0,549","0,742","0,436",81,"0,579","0,248","2,59","56,82","8,97","244,16"
Jacaraú (PB),"0,56","0,54","68,18","33,3","35,88","92,36","0,558","0,554","0,72","0,435","78,66","0,584","0,241","2,5","61,44","10,75","250,76"
Jericó (PB),"0,52","0,51","72,85","19,4",21,"95,45","0,603","0,577","0,798","0,476","86,48","0,609","0,291","2,02","54,59","10,35","290,17"
João Pessoa (PB),"0,72","0,62","74,89","16,44","13,25","96,65","0,763","0,77","0,832","0,693","89,79","0,709","0,663","1,49","41,03","6,96","964,82"
Juarez Távora (PB),"0,43","0,48","71,06","24,2","26,17","94,36","0,579","0,544","0,768","0,465","83,62","0,607","0,273","2,16","60,96","10,5","236,56"
Juazeirinho (PB),"0,5","0,51","70,2","26,8","28,88","93,8","0,567","0,557","0,753","0,435","82,18","0,542","0,281","2,44","60,4","7,89","255,68"
Junco do Seridó (PB),"0,42","0,47","67,91","34,2","36,86","92,16","0,617","0,571","0,715","0,576","78,19","0,714","0,374","1,85","54,52","8,37","280,15"
Juripiranga (PB),"0,53","0,53","65,64","42,7","45,98","90,32","0,548","0,544","0,677","0,448",74,"0,585","0,263","2,54","59,21","9,98","235,6"
Juru (PB),"0,54","0,51","70,45",26,"28,08","93,96","0,57","0,552","0,758","0,443","82,61","0,581","0,257","2,04","54,13","8,2","247,78"
Lagoa de Dentro (PB),"0,54","0,52","71,3","23,6","25,43","94,52","0,57","0,539","0,772","0,444","84,02","0,579","0,261","2,07","63,89","12,23","228,8"
Lagoa (PB),"0,4","0,45","69,81",28,"30,16","93,53","0,563","0,533","0,747","0,448","81,52","0,586","0,261","1,72","54,39","10,98","219,92"
Lagoa Seca (PB),"0,56","0,54","71,15",24,"25,89","94,42","0,627","0,621","0,769","0,516","83,77","0,636","0,34","2,24","54,27","8,47","380,73"
Lastro (PB),"0,38","0,44","69,83","27,9","30,09","93,55","0,533","0,532","0,747","0,38","81,56","0,537","0,191","1,62","48,67","9,15","219,67"
Livramento (PB),"0,5","0,5","68,94","30,7","33,13","92,92","0,566","0,523","0,732","0,473","80,01","0,609","0,285","2,4","62,3","9,65","207,73"
Logradouro (PB),"0,33","0,42","71,56","22,8","24,66","94,68","0,583","0,544","0,776","0,47","84,44","0,602","0,287","2,06","58,57","10,78","236,33"
Lucena (PB),"0,55","0,55","69,03","30,4","32,82","92,98","0,583","0,577","0,734","0,469","80,17","0,578","0,308","2,87","55,1","5,75","289,29"
Mãe D'Água (PB),"0,5","0,5","67,7","34,9","37,66","91,99","0,542","0,52","0,712","0,429","77,8","0,528","0,284","2,09","57,92","9,68","202,88"
Malta (PB),"0,66","0,58","73,01","19,1","20,58","95,53","0,642","0,62","0,8","0,533","86,72","0,68","0,328","2,22","59,91","11,28","378,53"
Mamanguape (PB),"0,52","0,52","70,33","26,4","28,44","93,89","0,585","0,585","0,756","0,453","82,41","0,542","0,317","2,39","54,53","7,1","305,46"
Manaíra (PB),"0,56","0,53","66,85",38,"40,97","91,32","0,543","0,537","0,698","0,426","76,25","0,554","0,252","2,87","59,8","8,33","225,93"
Marcação (PB),"0,51","0,51","66,43","39,6","42,68","90,98","0,529","0,525","0,691","0,408","75,47","0,516","0,255","3,21","61,76","6,24","209,46"
Mari (PB),"0,4","0,46","66,5","39,3","42,38","91,04","0,548","0,553","0,692","0,429","75,61","0,557","0,255","2,21","57,03","10,68","250,22"
Marizópolis (PB),"0,51","0,51","70,16","26,9","29,02","93,77","0,608","0,582","0,753","0,512","82,11","0,631","0,338","2,45","53,71","9,4","299,15"
Massaranduba (PB),"0,4","0,46","69,8",28,"30,19","93,53","0,567","0,552","0,747","0,441","81,5","0,624","0,221","2,17","60,19","10,46","247,98"
Mataraca (PB),"0,44","0,48","65,49","43,3","46,62","90,19","0,536","0,533","0,675","0,427","73,72","0,527","0,28","2,97","59,36","5,39","219,95"
Matinhas (PB),"0,33","0,44","69,81",28,"30,16","93,53","0,541","0,531","0,747","0,4","81,52","0,583","0,188","2,01","61,71","9,19","217,6"
Mato Grosso (PB),"0,4","0,45","70,62","25,5","27,52","94,08","0,565","0,566","0,76","0,419","82,9","0,578","0,22","1,84","53,26","9,18","271,56"
Maturéia (PB),"0,51","0,51","68,79","31,2","33,66","92,81","0,572","0,54","0,73","0,474","79,75","0,611","0,286","2,11","60,51","8,62","230,63"
Mogeiro (PB),"0,48","0,5","68,94","30,7","33,12","92,92","0,574","0,538","0,732","0,481","80,02","0,607","0,302","2,01","59,12","9,35","227,05"
Montadas (PB),"0,44","0,47","69,85","27,8","30,02","93,56","0,59","0,545","0,748","0,505","81,59","0,666","0,29","2,16","60,14","10,42","238,17"
Monte Horebe (PB),"0,59","0,54","70,29","26,5","28,59","93,86","0,587","0,579","0,755","0,463","82,34","0,605","0,271","2,37","56,85","9,14","292,96"
Monteiro (PB),"0,6","0,57","67,51","35,6","38,39","91,85","0,628","0,625","0,709","0,558","77,46","0,71","0,344","2,1","54,88","10,58","392,05"
Mulungu (PB),"0,44","0,49","71,65","22,6","24,39","94,73","0,565","0,548","0,778","0,423","84,58","0,541","0,258","2,02","56,72","10,28","242,9"
Natuba (PB),"0,54","0,54","67,61","35,2",38,"91,93","0,541","0,516","0,71","0,432","77,64","0,589","0,232","2,26","61,46","8,99","198,68"
Nazarezinho (PB),"0,52","0,52","69,83","27,9","30,09","93,55","0,562","0,528","0,747","0,449","81,56","0,595","0,256","2,31","54,76","10,21","213,53"
Nova Floresta (PB),"0,5","0,51","70,45",26,"28,07","93,97","0,601","0,576","0,758","0,498","82,61","0,615","0,326","2,56","60,64","11,18","287,45"
Nova Olinda (PB),"0,55","0,52","69,61","28,6","30,82","93,39","0,573","0,557","0,744","0,453","81,18","0,569","0,287","2,21","56,6","7,91","255,69"
Nova Palmeira (PB),"0,37","0,45","70,73","25,2","27,18","94,15","0,595","0,567","0,762","0,488","83,08","0,616","0,307","2,24","53,45","10,43","272,29"
Olho D'Água (PB),"0,59","0,55","71,53","22,9","24,74","94,66","0,572","0,533","0,776","0,452","84,39","0,567","0,288","1,78","53,51","8,12","220,96"
Olivedos (PB),"0,49","0,49","70,96","24,5","26,46","94,3","0,603","0,531","0,766","0,54","83,47","0,644","0,379","1,96","54,87","10,73","217,32"
Ouro Velho (PB),"0,39","0,47","70,86","24,8","26,8","94,23","0,614","0,585","0,764","0,518","83,28","0,587","0,404","2,07","51,71","10,55","305,23"
Parari (PB),"0,52","0,49","68,98","30,6","32,99","92,95","0,584","0,583","0,733","0,467","80,08","0,618","0,267","2,19","55,06","10,75","300,27"
Passagem (PB),"0,5","0,51","72,41","20,6","22,22","95,19","0,62","0,566","0,79","0,534","85,79","0,652","0,358","1,95","54,43","9,54","270,29"
Patos (PB),"0,56","0,56","74,26","15,27","16,53","96,16","0,701","0,667","0,821","0,628","88,43","0,709","0,493","1,88","48,99","7,92","508,52"
Paulista (PB),"0,46","0,49","69,79",28,"30,24","93,52","0,587","0,587","0,747","0,461","81,48","0,614","0,26","1,69","47,83","8,88","308,48"
Pedra Branca (PB),"0,5","0,5","70,68","25,3","27,34","94,12","0,599","0,532","0,761","0,532",83,"0,648","0,359","1,97","55,37","8,41","219,29"
Pedra Lavrada (PB),"0,45","0,49","68,96","30,6","33,05","92,94","0,574","0,564","0,733","0,458","80,06","0,609","0,259","2,22","54,73","10,17","267,79"
Pedras de Fogo (PB),"0,52","0,53","71,23","23,8","25,64","94,47","0,59","0,568","0,771","0,468","83,9","0,586","0,299","2,21","54,23","7,6","273,39"
Pedro Régis (PB),"0,51","0,51","70,21","26,7","28,84","93,81","0,542","0,529","0,754","0,399","82,2","0,552","0,208","2,29","67,1","11,26","215,39"
Piancó (PB),"0,51","0,53","69,17",30,"32,34","93,08","0,621","0,593","0,736","0,55","80,41","0,65","0,394","1,74","49,74","9,61","321,21"
Picuí (PB),"0,54","0,53","69,7","28,3","30,53","93,45","0,608","0,596","0,745","0,506","81,33","0,634","0,323","2,45","58,2","10,06","326,53"
Pilar (PB),"0,47","0,49","71,52",23,"24,78","94,65","0,579","0,544","0,775","0,461","84,37","0,571","0,301","2,34","55,97","8,61","236,08"
Pilões (PB),"0,64","0,59","70,99","24,5","26,39","94,31","0,56","0,559","0,767","0,409","83,5","0,503","0,271","2,21","61,6","8,33",259
Pilõezinhos (PB),"0,34","0,43","73,14","18,7","20,22","95,61","0,564","0,532","0,802","0,421","86,92","0,553","0,244","2,11","57,4","9,04","218,98"
Pirpirituba (PB),"0,51","0,52","69,69","28,3","30,55","93,45","0,595","0,566","0,745","0,499","81,32","0,596","0,349","2,17","57,1","9,97","270,98"
