Territorialidades,Índice de Theil-L 2010,Índice de Gini 2010,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Mortalidade até 5 anos de idade 2010,Probabilidade de sobrevivência até 40 anos 2010,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educação 2010,Probabilidade de sobrevivência até 60 anos 2010,Subíndice de frequência escolar - IDHM Educação 2010,Subíndice de escolaridade - IDHM Educação 2010,Taxa de fecundidade total 2010,Razão de dependência 2010,Taxa de envelhecimento 2010,Renda per capita 2010
São João do Rio do Peixe (PB),"0,54","0,53","71,94","21,8","23,55","94,91","0,608","0,586","0,782","0,49","85,05","0,61","0,316","1,81","50,77","11,15","306,87"
São João do Tigre (PB),"0,47","0,51","70,45",26,"28,08","93,96","0,552","0,523","0,758","0,424","82,61","0,56","0,243","2,39","64,77","10,26","207,42"
São José da Lagoa Tapada (PB),"0,51","0,49","68,34","32,7","35,28","92,48","0,53","0,53","0,722","0,389","78,95","0,516","0,221","1,99","54,59","10,64","216,66"
São José de Caiana (PB),"0,4","0,44","70,7","25,3","27,28","94,13","0,565","0,545","0,762","0,434","83,03","0,552","0,269","2,24","57,66","6,26","238,28"
São José de Espinharas (PB),"0,39","0,45","72,41","20,6","22,22","95,19","0,577","0,543","0,79","0,448","85,79","0,563","0,283","2,22","55,3","10,25","234,08"
São José de Piranhas (PB),"0,5","0,5","70,31","26,4","28,51","93,87","0,591","0,594","0,755","0,461","82,38","0,59","0,281","1,74","54,21","9,61","321,53"
São José de Princesa (PB),"0,4","0,45","70,89","24,7","26,69","94,25","0,565","0,533","0,765","0,443","83,34","0,586","0,254","1,73","55,63","8,84","221,16"
São José do Bonfim (PB),"0,47","0,48","67,76","34,7","37,45","92,04","0,578","0,549","0,713","0,493","77,9","0,637","0,295","2,23","53,73","8,51","244,14"
São José do Brejo do Cruz (PB),"0,41","0,46","71,58","22,8","24,6","94,69","0,581","0,535","0,776","0,473","84,47","0,605","0,289","2,23","55,06","8,25","223,11"
São José do Sabugi (PB),"0,33","0,43","71,88",22,"23,71","94,88","0,617","0,584","0,781","0,514","84,96","0,614","0,361","1,88","49,52","9,43","302,36"
São José dos Cordeiros (PB),"0,47","0,49","71,69","22,5","24,28","94,76","0,556","0,542","0,778","0,407","84,64","0,578","0,202","2,44","62,12","12,25","233,71"
São José dos Ramos (PB),"0,47","0,51","69,26","29,7","32,01","93,15","0,541","0,527","0,738","0,406","80,58","0,54","0,229","2,25","59,88","9,11","212,12"
São Mamede (PB),"0,53","0,52","70,87","24,8","26,74","94,24","0,641","0,617","0,765","0,558","83,31","0,675","0,381","1,94","55,61","12,15","371,01"
São Miguel de Taipu (PB),"0,43","0,49","68,26",33,"35,56","92,42","0,548","0,516","0,721","0,443","78,82","0,59","0,249","2,32","60,15","8,03","198,63"
São Sebastião de Lagoa de Roça (PB),"0,44","0,48","72,67","19,9","21,5","95,34","0,594","0,561","0,795","0,471","86,19","0,605","0,286","1,86","56,88","9,71","262,87"
São Sebastião do Umbuzeiro (PB),"0,4","0,46","70,8",25,"26,96","94,2","0,581","0,561","0,763","0,459","83,2","0,581","0,286","2,36","58,5","10,85","263,04"
Sapé (PB),"0,45","0,5","67,64","35,2","37,9","91,95","0,569","0,563","0,711","0,461","77,69","0,562","0,31","2,2","54,15","8,85","266,29"
Seridó (PB),"0,41","0,47","67,83","34,5","37,19","92,09","0,555","0,528","0,714","0,453","78,03","0,584","0,273","2,49","59,77","7,57","214,38"
Serra Branca (PB),"0,44","0,48","71,22","23,8","25,68","94,46","0,628","0,598","0,77","0,537","83,89","0,668","0,347","1,99","57,78","13,38","330,05"
Serra da Raiz (PB),"0,47","0,5","72,5","20,4","21,97","95,24","0,626","0,57","0,792","0,544","85,93","0,666","0,363","2,38","61,65","11,24","278,22"
Serra Grande (PB),"0,43","0,47","69,69","28,3","30,55","93,45","0,586","0,549","0,745","0,491","81,32","0,618","0,309","2,39","54,55","9,14","244,05"
Serra Redonda (PB),"0,47","0,48","71,3","23,6","25,43","94,52","0,57","0,565","0,772","0,424","84,02","0,557","0,246","2,05",61,"12,41","268,53"
Serraria (PB),"0,5","0,5","71,71","22,4","24,22","94,77","0,547","0,536","0,779","0,392","84,68","0,492","0,248","2,42","67,28","11,11","224,2"
Sertãozinho (PB),"0,43","0,46","71,16",24,"25,87","94,42","0,621","0,554","0,769","0,561","83,78","0,721","0,339","2,09","63,44","12,51","252,11"
Sobrado (PB),"0,43","0,49","70,17","26,8","28,96","93,78","0,573","0,525","0,753","0,477","82,14","0,64","0,265","2,2","52,81","8,84","210,08"
Solânea (PB),"0,6","0,56","70,69","25,3","27,31","94,12","0,595","0,592","0,762","0,468","83,01","0,583","0,301","2,18","60,32","11,04","318,38"
Soledade (PB),"0,49","0,51","71,31","23,6","25,41","94,52","0,616","0,598","0,772","0,506","84,03","0,608","0,351","2,11","56,2","9,37","330,05"
Sossêgo (PB),"0,48","0,5","71,13",24,"25,94","94,41","0,573","0,531","0,769","0,46","83,75","0,626","0,248","2,85","60,29","8,3","218,2"
Sousa (PB),"0,54","0,54","73,84","16,24","17,58","95,94","0,668","0,645","0,814","0,567","87,83","0,667","0,41","2,34","49,12","9,06","443,81"
Sumé (PB),"0,45","0,5","70,88","24,8","26,73","94,24","0,627","0,602","0,765","0,534","83,32","0,658","0,352","2,04","51,78","11,28","339,68"
Tacima (PB),"0,46","0,49","68,58","31,9","34,42","92,66","0,551","0,513","0,726","0,45","79,38","0,587","0,264","1,92","53,16","10,34","195,07"
Taperoá (PB),"0,45","0,48","69,92","27,6","29,79","93,61","0,578","0,564","0,749","0,456","81,71","0,587","0,275","2,12","59,64","10,68","267,88"
Tavares (PB),"0,55","0,52","71,59","22,8","24,58","94,69","0,586","0,56","0,777","0,462","84,48","0,62","0,257","1,88","57,98","8,62","260,75"
Teixeira (PB),"0,58","0,55","69,46",29,"31,33","93,29","0,605","0,566","0,741","0,527","80,92","0,612","0,391","2,37","57,36","7,62","271,44"
